Fecha,Date,SRAD_Ajusted,TMAX,TMIN,RAIN
1/1/1980,1/1980,16.2291,32.4,24.8,0
1/2/1980,1/1980,14.7328,31.6,25.4,10
1/3/1980,1/1980,16.4593,32.2,24.4,7
1/4/1980,1/1980,15.6536,31.8,24.8,0
1/5/1980,1/1980,15.4234,31.2,24.4,0
1/6/1980,1/1980,14.963,31.2,24.8,2
1/7/1980,1/1980,17.9556,33.4,24.2,0
1/8/1980,1/1980,18.1858,32.6,23.2,0
1/9/1980,1/1980,17.8405,33.4,24.4,0
1/10/1980,1/1980,17.0348,32.4,24.2,0
1/11/1980,1/1980,15.3083,30.2,23.6,0
1/12/1980,1/1980,17.7254,31.6,22.8,0
1/13/1980,1/1980,18.416,32.8,23.4,0
1/14/1980,1/1980,16.9197,31.2,23.2,0
1/15/1980,1/1980,15.8838,30.6,23.6,0
1/16/1980,1/1980,16.3442,30.4,23,0
1/17/1980,1/1980,16.8046,30.6,22.8,0
1/18/1980,1/1980,17.9556,30.8,22,0
1/19/1980,1/1980,16.9197,30.8,23,0
1/20/1980,1/1980,16.6895,31.8,24.2,0
1/21/1980,1/1980,17.0348,31.2,23.4,0
1/22/1980,1/1980,17.8405,32,23.4,0
1/23/1980,1/1980,17.0348,31.8,24,0
1/24/1980,1/1980,14.5026,30.4,24.8,0
1/25/1980,1/1980,15.5385,30.6,24.2,0
1/26/1980,1/1980,17.8405,33,24.6,0
1/27/1980,1/1980,16.114,31.4,24.6,0
1/28/1980,1/1980,16.114,31,24.2,0
1/29/1980,1/1980,16.8046,32.8,25.4,0
1/30/1980,1/1980,16.4593,32.4,25.4,0
1/31/1980,1/1980,17.3801,31.6,23.8,0
2/1/1980,2/1980,13.05,29.2,24.6,0
2/2/1980,2/1980,15.975,29.8,23,0
2/3/1980,2/1980,12.825,28.8,24.4,0
2/4/1980,2/1980,13.5,28.8,24,0.6
2/5/1980,2/1980,11.025,28.4,25.2,0
2/6/1980,2/1980,16.5375,30.2,23,0
2/7/1980,2/1980,19.0125,32.2,22.8,0
2/8/1980,2/1980,19.0125,32.8,23.4,0
2/9/1980,2/1980,21.15,34.2,22.6,0
2/10/1980,2/1980,16.5375,30.8,23.8,0
2/11/1980,2/1980,14.2875,29.6,24.4,0
2/12/1980,2/1980,20.025,34,23.8,0
2/13/1980,2/1980,19.0125,33.2,24,0
2/14/1980,2/1980,19.125,32.2,23,0
2/15/1980,2/1980,16.9875,31.4,24.2,0
2/16/1980,2/1980,15.525,30.4,24.4,0
2/17/1980,2/1980,17.775,31,23.2,0
2/18/1980,2/1980,17.55,30.6,23,0.2
2/19/1980,2/1980,17.55,30.4,22.8,0
2/20/1980,2/1980,16.425,30,23.4,0
2/21/1980,2/1980,15.6375,30.2,24.2,6.6
2/22/1980,2/1980,18.5625,31.6,23.2,0
2/23/1980,2/1980,19.575,32,22.8,0
2/24/1980,2/1980,17.325,30,22.8,0
2/25/1980,2/1980,19.575,32.8,23.6,0
2/26/1980,2/1980,16.875,30.8,24,0
2/27/1980,2/1980,19.0125,33,24.4,0
2/28/1980,2/1980,19.575,33,24,0
2/29/1980,2/1980,18,32.2,24.6,0
3/1/1980,3/1980,17.1558,31.8,24,0
3/2/1980,3/1980,18.5325,32.4,23.4,0
3/3/1980,3/1980,12.9198,28.4,24,0
3/4/1980,3/1980,18.7443,32.8,23.6,0
3/5/1980,3/1980,17.7912,31.6,23.4,0
3/6/1980,3/1980,16.944,31,23.6,0
3/7/1980,3/1980,20.2269,34.2,23.6,0
3/8/1980,3/1980,19.9092,33.6,23.4,0
3/9/1980,3/1980,19.6974,33.2,23.2,0
3/10/1980,3/1980,19.8033,33,23,0
3/11/1980,3/1980,17.8971,33.2,25,0
3/12/1980,3/1980,18.8502,33.6,24.6,0
3/13/1980,3/1980,15.1437,31.2,25.4,0
3/14/1980,3/1980,18.4266,34.4,25.8,0
3/15/1980,3/1980,18.7443,34.2,25.4,0
3/16/1980,3/1980,17.8971,33.4,25.4,0
3/17/1980,3/1980,17.6853,32.2,24.4,0
3/18/1980,3/1980,17.6853,32.4,24.6,0
3/19/1980,3/1980,16.5204,32,25.2,0
3/20/1980,3/1980,19.2738,33,23.8,0
3/21/1980,3/1980,19.4856,32.8,23.4,0
3/22/1980,3/1980,14.7201,29.6,24.2,0
3/23/1980,3/1980,16.3086,30.8,24.2,0
3/24/1980,3/1980,21.0741,34,23,0
3/25/1980,3/1980,16.4145,31.6,25,0
3/26/1980,3/1980,16.0968,31.4,25,0
3/27/1980,3/1980,19.3797,34,24.8,0
3/28/1980,3/1980,18.7443,34,25.4,0
3/29/1980,3/1980,13.767,30.2,25.6,0
3/30/1980,3/1980,7.5189,27.4,26,0
3/31/1980,3/1980,19.1679,32,23,0
4/1/1980,4/1980,14.949,31.4,25.2,0
4/2/1980,4/1980,14.949,31.2,25,0
4/3/1980,4/1980,18.018,32.4,23.4,0
4/4/1980,4/1980,16.335,31.6,24.2,0
4/5/1980,4/1980,14.454,30.4,24.6,0
4/6/1980,4/1980,13.662,30.8,25.6,0
