Fecha,Date,TMAX,TMIN,RAIN,S.Rad,Kc
1/1/1985,Jan-85,33.08841083,19.68841083,0,20.93407,0.8
1/2/1985,Jan-85,30.74175099,21.14175099,0,19.039104,0.8
1/3/1985,Jan-85,30.95787575,20.75787575,0,20.087078,0.8
1/4/1985,Jan-85,33.91248621,21.71248621,0,18.14724,0.8
1/5/1985,Jan-85,30.34577388,21.34577388,23,17.869766,0.8
1/6/1985,Jan-85,33.60880738,20.20880738,0,12.595611,0.8
1/7/1985,Jan-85,32.90529431,20.30529431,0,14.281631,0.8
1/8/1985,Jan-85,34.58741763,20.38741763,0,15.03884,0.8
1/9/1985,Jan-85,33.62093914,20.42093914,0,18.657618,0.8
1/10/1985,Jan-85,31.67625484,20.87625484,0.5,19.901574,0.8
1/11/1985,Jan-85,32.06327699,19.86327699,0,19.760028,0.8
1/12/1985,Jan-85,32.13755702,21.53755702,0,20.87906,0.8
1/13/1985,Jan-85,31.91839486,22.11839486,0.3,16.621748,0.8
1/14/1985,Jan-85,31.8289645,22.2289645,0,15.723024,0.8
1/15/1985,Jan-85,31.31010073,21.71010073,0,15.248946,0.8
1/16/1985,Jan-85,31.61077671,21.01077671,6,20.261882,0.8
1/17/1985,Jan-85,30.86972204,20.66972204,5.5,20.371388,0.8
1/18/1985,Jan-85,33.64141031,20.24141031,0,18.963092,0.8
1/19/1985,Jan-85,31.25173432,21.65173432,0,16.23284,0.8
1/20/1985,Jan-85,35.11418572,21.11418572,0,18.139362,0.8
1/21/1985,Jan-85,33.66033571,22.46033571,0,18.709442,0.8
1/22/1985,Jan-85,31.82939248,21.62939248,0,16.61129,0.8
1/23/1985,Jan-85,33.62494558,19.42494558,0,16.555369,0.8
1/24/1985,Jan-85,31.59389194,20.79389194,0,19.386552,0.8
1/25/1985,Jan-85,33.00119656,21.20119656,0,21.018452,0.8
1/26/1985,Jan-85,34.81636722,20.21636722,0,17.807186,0.8
1/27/1985,Jan-85,33.5379695,18.5379695,0,16.070883,0.8
1/28/1985,Jan-85,33.58673614,20.18673614,0,15.62699,0.8
1/29/1985,Jan-85,33.04002122,20.24002122,0,14.071517,0.8
1/30/1985,Jan-85,34.69068571,20.49068571,0,19.21498,0.8
1/31/1985,Jan-85,29.48598156,20.68598156,0,21.567836,0.8
2/1/1985,Feb-85,33.06746926,20.86746926,0,23.433466,0.8
2/2/1985,Feb-85,34.76707576,22.16707576,0,23.72709,0.8
2/3/1985,Feb-85,35.57322297,21.77322297,0,23.695364,0.8
2/4/1985,Feb-85,31.2606577,20.0606577,0,23.215762,0.8
